Physical Activity Level,Dietary Habits,Sleep Duration (hours),Stress Level,Smoking Status,Alcohol Consumption,Caffeine Intake,Hydration Level,Work-Life Balance,Hobbies and Interests,Social Support,Mindfulness and Meditation Practice,Exposure to Natural Light,Technology Usage,Air Quality Exposure,Cluster_KModes
Sedentary,Mediterranean,5,Moderate,Smoker,Occasional,Low,Insufficient,Excellent,Traveling,Weak,None,Low,Moderate,Poor,0
Active,Mediterranean,5,Low,Non-smoker,Occasional,None,Adequate,Poor,Traveling,Strong,None,Moderate,Minimal,Good,0
Moderate,Keto,7,Moderate,Former Smoker,None,None,Adequate,Fair,Sports,Moderate,Regular,Moderate,Excessive,Average,1
Active,Vegan,7,Low,Former Smoker,Occasional,Low,Adequate,Excellent,Traveling,Moderate,Occasional,Moderate,Minimal,Poor,0
Moderate,Mediterranean,6,High,Former Smoker,Regular,High,Insufficient,Fair,Sports,Strong,None,Moderate,Excessive,Average,3
Moderate,Keto,10,High,Smoker,Regular,Low,Insufficient,Fair,Reading,Moderate,Occasional,Low,Minimal,Good,2
Active,Omnivore,8,Moderate,Former Smoker,Regular,None,Adequate,Fair,Reading,Weak,Regular,Low,Minimal,Poor,0
Moderate,Keto,4,Low,Non-smoker,Occasional,High,Insufficient,Good,Traveling,Strong,Occasional,High,Excessive,Good,2
Moderate,Keto,9,High,Non-smoker,Regular,Low,Insufficient,Fair,Music,Strong,None,High,Moderate,Average,2
Active,Omnivore,6,High,Non-smoker,Occasional,High,Adequate,Poor,Reading,Moderate,Regular,High,Excessive,Average,1
Sedentary,Omnivore,9,High,Non-smoker,Regular,Low,Insufficient,Excellent,Music,Moderate,Regular,High,Excessive,Poor,1
Sedentary,Mediterranean,11,Moderate,Non-smoker,Regular,High,Insufficient,Poor,Reading,Strong,Regular,High,Minimal,Good,1
Moderate,Vegetarian,5,High,Smoker,None,High,Insufficient,Excellent,Reading,Strong,Regular,High,Moderate,Poor,1
Sedentary,Vegetarian,12,Moderate,Former Smoker,Regular,Low,Adequate,Good,Music,Weak,None,Low,Excessive,Good,0
Moderate,Vegan,8,Moderate,Non-smoker,Occasional,Low,Adequate,Fair,Sports,Strong,Occasional,High,Minimal,Average,1
Sedentary,Keto,4,Low,Former Smoker,Regular,None,Adequate,Poor,Reading,Moderate,None,Moderate,Excessive,Poor,0
Active,Vegetarian,9,Low,Smoker,Occasional,High,Insufficient,Poor,Reading,Strong,None,Moderate,Moderate,Average,3
Active,Vegan,4,High,Former Smoker,Regular,High,Adequate,Poor,Traveling,Weak,Occasional,Low,Excessive,Average,1
Moderate,Omnivore,8,High,Former Smoker,Occasional,High,Adequate,Good,Reading,Strong,Occasional,High,Excessive,Good,3
Sedentary,Vegan,12,Moderate,Non-smoker,Occasional,Low,Insufficient,Good,Sports,Strong,Regular,Low,Excessive,Good,2
Sedentary,Keto,7,High,Non-smoker,Occasional,High,Insufficient,Poor,Reading,Weak,Occasional,Low,Excessive,Average,2
Sedentary,Mediterranean,5,Low,Non-smoker,None,Low,Adequate,Good,Reading,Moderate,Regular,Low,Excessive,Good,0
Active,Keto,8,Low,Former Smoker,None,None,Insufficient,Fair,Reading,Weak,Regular,High,Minimal,Average,1
Moderate,Mediterranean,7,High,Smoker,None,High,Insufficient,Fair,Traveling,Strong,Regular,High,Moderate,Average,2
Moderate,Keto,10,High,Non-smoker,Occasional,Low,Insufficient,Fair,Traveling,Weak,None,High,Moderate,Good,2
Moderate,Keto,10,High,Smoker,Regular,High,Insufficient,Good,Sports,Strong,None,Moderate,Moderate,Good,2
Moderate,Keto,11,Low,Smoker,None,High,Adequate,Poor,Reading,Moderate,None,High,Moderate,Good,0
Moderate,Vegetarian,11,High,Non-smoker,Occasional,Low,Insufficient,Good,Sports,Strong,Occasional,High,Minimal,Poor,2
Sedentary,Vegetarian,11,High,Smoker,Regular,Low,Adequate,Good,Music,Strong,Regular,High,Moderate,Good,1
Sedentary,Vegan,12,High,Smoker,Occasional,High,Adequate,Poor,Sports,Strong,Regular,Low,Minimal,Good,3
Active,Keto,12,Moderate,Smoker,Regular,High,Adequate,Fair,Reading,Weak,Regular,High,Excessive,Good,3
Sedentary,Keto,8,Moderate,Non-smoker,None,None,Adequate,Excellent,Reading,Weak,None,Moderate,Moderate,Poor,0
Moderate,Omnivore,10,Low,Smoker,None,Low,Insufficient,Excellent,Sports,Weak,None,High,Moderate,Average,1
Moderate,Vegetarian,5,Moderate,Non-smoker,None,Low,Insufficient,Excellent,Reading,Strong,Occasional,Moderate,Moderate,Good,2
Moderate,Omnivore,4,High,Former Smoker,None,Low,Insufficient,Good,Reading,Moderate,Regular,High,Moderate,Average,1
Moderate,Keto,6,Low,Smoker,Regular,None,Adequate,Good,Traveling,Moderate,Occasional,Moderate,Excessive,Poor,2
Active,Keto,7,High,Non-smoker,None,None,Insufficient,Excellent,Sports,Weak,Regular,Low,Excessive,Average,2
Active,Omnivore,7,Moderate,Smoker,Regular,Low,Insufficient,Good,Traveling,Weak,None,High,Excessive,Average,1
Sedentary,Vegan,10,Moderate,Former Smoker,Occasional,Low,Insufficient,Poor,Reading,Weak,None,High,Moderate,Poor,1
Moderate,Vegetarian,6,Moderate,Non-smoker,Regular,High,Insufficient,Fair,Sports,Moderate,Occasional,Moderate,Minimal,Poor,1
Active,Vegan,7,High,Non-smoker,Occasional,None,Insufficient,Excellent,Traveling,Strong,Occasional,Moderate,Excessive,Average,2
Active,Omnivore,4,Low,Smoker,None,None,Adequate,Excellent,Sports,Moderate,Regular,Low,Excessive,Poor,0
Moderate,Mediterranean,12,High,Non-smoker,Occasional,Low,Adequate,Poor,Sports,Strong,Occasional,Moderate,Moderate,Average,3
Sedentary,Keto,5,Low,Non-smoker,Occasional,High,Adequate,Good,Music,Weak,Regular,Low,Moderate,Poor,0
Active,Omnivore,10,High,Smoker,Regular,Low,Adequate,Excellent,Reading,Strong,Regular,High,Minimal,Average,1
Sedentary,Vegetarian,12,High,Smoker,Occasional,Low,Insufficient,Good,Music,Moderate,Occasional,Low,Excessive,Good,2
Sedentary,Vegetarian,4,Low,Former Smoker,Occasional,Low,Adequate,Excellent,Music,Weak,None,Low,Excessive,Poor,0
Active,Omnivore,6,Low,Former Smoker,None,Low,Insufficient,Good,Music,Strong,Occasional,Low,Moderate,Average,2
Active,Mediterranean,10,High,Non-smoker,Regular,None,Adequate,Poor,Music,Weak,Occasional,Low,Excessive,Average,0
Moderate,Omnivore,5,High,Non-smoker,Regular,None,Adequate,Fair,Traveling,Strong,Regular,Moderate,Excessive,Average,2
Sedentary,Keto,11,Low,Non-smoker,Regular,None,Insufficient,Fair,Traveling,Weak,Occasional,Low,Excessive,Good,2
Sedentary,Vegan,11,Low,Former Smoker,Occasional,Low,Insufficient,Good,Sports,Strong,None,High,Minimal,Average,0
Sedentary,Vegetarian,7,Moderate,Former Smoker,Regular,None,Adequate,Poor,Sports,Moderate,None,High,Moderate,Poor,1
Active,Mediterranean,6,Moderate,Smoker,None,High,Adequate,Excellent,Sports,Strong,Occasional,High,Minimal,Good,2
Sedentary,Omnivore,11,Low,Non-smoker,None,None,Insufficient,Good,Traveling,Moderate,None,High,Minimal,Average,0
Moderate,Mediterranean,6,High,Former Smoker,None,None,Adequate,Good,Sports,Weak,Regular,Low,Excessive,Average,2
Active,Vegetarian,6,High,Smoker,None,High,Insufficient,Good,Traveling,Moderate,None,Moderate,Moderate,Average,1
Active,Vegan,12,High,Former Smoker,None,Low,Adequate,Fair,Sports,Moderate,Occasional,Low,Moderate,Average,1
Sedentary,Vegan,8,High,Former Smoker,Occasional,High,Adequate,Fair,Reading,Moderate,Regular,Low,Excessive,Good,3
Active,Keto,4,Low,Smoker,Regular,Low,Insufficient,Fair,Traveling,Moderate,Occasional,Moderate,Minimal,Average,1
Moderate,Omnivore,5,Low,Smoker,Occasional,None,Adequate,Excellent,Music,Moderate,None,Moderate,Moderate,Good,3
Sedentary,Vegetarian,9,Low,Smoker,Occasional,Low,Adequate,Fair,Traveling,Weak,Occasional,High,Excessive,Average,0
Sedentary,Vegan,11,High,Former Smoker,None,High,Insufficient,Good,Traveling,Weak,Regular,High,Minimal,Poor,0
Sedentary,Keto,12,Low,Former Smoker,Occasional,Low,Adequate,Good,Music,Strong,Regular,Moderate,Minimal,Poor,0
Moderate,Vegan,10,Moderate,Smoker,Occasional,Low,Insufficient,Poor,Sports,Moderate,None,Low,Excessive,Good,1
Sedentary,Omnivore,12,Low,Former Smoker,Occasional,Low,Adequate,Excellent,Reading,Weak,None,High,Moderate,Average,0
Sedentary,Mediterranean,5,Low,Non-smoker,None,Low,Insufficient,Excellent,Music,Moderate,None,Moderate,Moderate,Good,2
