Age,Gender,Marriage Status,No of People Living in Family,State,Employment Status,No_Employees,Cluster_KModes
34,Male,Other,4,Mizoram,Student,0-10,0
74,Male,Single,10,Sikkim,Student,100-500,0
62,Female,Single,9,Sikkim,Employed(Private),500-1000,1
37,Male,Single,1,West Bengal,Employed(Government),1000+,0
22,Male,Married,6,Jharkhand,Employed(Government),100-500,3
41,Female,Married,9,Punjab,Retired,0-10,2
80,Female,Single,8,West Bengal,Employed(Private),50-100,0
53,Male,Other,3,Chhattisgarh,Unemployed,1000+,2
69,Male,Married,1,Andaman and Nicobar Islands,Retired,1000+,2
37,Male,Other,4,Ladakh,Employed(Government),100-500,1
73,Female,Single,9,Nagaland,Employed(Government),500-1000,1
28,Female,Single,2,Lakshadweep,Student,0-10,1
61,Male,Single,1,Jharkhand,Student,1000+,1
18,Female,Other,9,Chhattisgarh,Employed(Government),50-100,0
72,Female,Married,4,Meghalaya,Student,50-100,1
42,Female,Married,1,Tamil Nadu,Retired,100-500,0
22,Female,Other,3,Dadra and Nagar Haveli and Daman and Diu,Student,1000+,3
60,Female,Other,7,Telangana,Retired,0-10,1
31,Female,Married,7,Himachal Pradesh,Employed(Government),100-500,3
48,Male,Single,6,Madhya Pradesh,Employed(Government),100-500,2
71,Male,Married,3,Sikkim,Employed(Government),100-500,2
49,Female,Single,9,Lakshadweep,Retired,100-500,0
59,Female,Other,7,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),100-500,1
58,Male,Single,10,Tamil Nadu,Retired,0-10,2
20,Male,Single,7,Assam,Retired,1000+,2
58,Male,Married,8,Bihar,Unemployed,1000+,2
47,Female,Other,8,Chhattisgarh,Unemployed,500-1000,0
72,Male,Married,6,Telangana,Unemployed,100-500,2
49,Female,Single,4,Bihar,Unemployed,0-10,1
57,Male,Married,6,Puducherry,Student,100-500,3
49,Female,Married,3,Kerala,Employed(Government),100-500,3
34,Female,Married,3,Delhi,Retired,0-10,0
21,Male,Single,6,Mizoram,Student,500-1000,1
57,Male,Single,8,West Bengal,Employed(Government),10-50,2
41,Female,Other,4,Himachal Pradesh,Unemployed,50-100,1
66,Female,Single,3,Meghalaya,Student,50-100,2
61,Female,Other,2,Tripura,Employed(Private),100-500,2
41,Male,Single,7,Tamil Nadu,Employed(Private),1000+,1
75,Male,Other,1,Uttar Pradesh,Employed(Government),0-10,1
62,Male,Other,1,Gujarat,Employed(Government),500-1000,1
77,Female,Other,2,Tripura,Employed(Private),1000+,2
31,Male,Married,9,Assam,Retired,10-50,0
54,Male,Single,9,Delhi,Retired,1000+,3
70,Male,Single,1,Delhi,Unemployed,50-100,0
32,Female,Other,10,Mizoram,Unemployed,50-100,1
43,Male,Single,7,Ladakh,Employed(Private),10-50,2
29,Female,Other,3,Haryana,Retired,1000+,0
33,Female,Other,6,Puducherry,Employed(Private),500-1000,2
48,Male,Other,2,Haryana,Unemployed,500-1000,0
49,Male,Married,5,Puducherry,Employed(Private),100-500,2
38,Male,Single,1,Manipur,Employed(Private),1000+,2
62,Female,Other,5,Sikkim,Retired,500-1000,0
40,Female,Other,10,Nagaland,Student,0-10,1
23,Male,Single,10,Mizoram,Retired,100-500,2
20,Female,Married,6,Uttarakhand,Unemployed,50-100,0
69,Female,Single,5,Chandigarh,Employed(Government),1000+,2
